Parent Account ID,Parent Account,Account Name,Billing State/Province,Type,Last Modified Date,Annual Revenue,Recurring ARR,Trade Designation,Account ID,Number of Active Assets,Trade Organization List,Trade Organization Chapter List,Industry,Sub-Industry,Account Owner,Account URL,Original ARR,Start Date,Active Assets
ACC-1000,Whitestone Electric,Whitestone Electric,TX,Customer,2026-05-01,18000000,96000,EC,ACC-1000,2,,,Electrical Contractor,,Eddie Coleman,https://crestline.lightning.force.com/lightning/r/Account/ACC-1000/view,78000,2023-01-01,Procurement;API Integration
ACC-1001,Cascade Mechanical,Cascade Mechanical,WA,Customer,2026-05-01,22000000,142000,MC,ACC-1001,1,,,Mechanical Contractor,,Caroline Mead,https://crestline.lightning.force.com/lightning/r/Account/ACC-1001/view,142000,2023-01-01,Procurement
ACC-1002,Anchor Plumbing,Anchor Plumbing,NY,Customer,2026-05-01,14000000,88000,PC,ACC-1002,1,,,Plumbing Contractor,,Eddie Coleman,https://crestline.lightning.force.com/lightning/r/Account/ACC-1002/view,88000,2023-01-01,Procurement
ACC-1003,Northwall Builders,Northwall Builders,IL,Customer,2026-05-01,40000000,110000,GC,ACC-1003,1,,,General Contractor,,Caroline Mead,https://crestline.lightning.force.com/lightning/r/Account/ACC-1003/view,110000,2023-01-01,Procurement
ACC-1004,Foothill Sheet Metal,Foothill Sheet Metal,CA,Customer,2026-05-01,28000000,95000,SM,ACC-1004,1,,,HVAC/Sheet Metal Contractor,,Lauren Park,https://crestline.lightning.force.com/lightning/r/Account/ACC-1004/view,95000,2023-01-01,Procurement
ACC-1005,Briarcliff Trades,Briarcliff Trades,PA,Customer,2026-05-01,12000000,142000,GC,ACC-1005,2,,,General Contractor,,Eddie Coleman,https://crestline.lightning.force.com/lightning/r/Account/ACC-1005/view,78000,2023-01-01,Procurement;API Integration
ACC-1006,Highline HVAC,Highline HVAC,FL,Customer,2026-05-01,9000000,64000,SM,ACC-1006,1,,,HVAC/Sheet Metal Contractor,,Eddie Coleman,https://crestline.lightning.force.com/lightning/r/Account/ACC-1006/view,64000,2023-01-01,Procurement
ACC-1007,Beacon Industrial,Beacon Industrial,OH,Customer,2026-05-01,16000000,88000,GC,ACC-1007,1,,,General Contractor,,Tomás Reyes,https://crestline.lightning.force.com/lightning/r/Account/ACC-1007/view,88000,2023-01-01,Procurement
ACC-1008,Cornerstone Mechanical,Cornerstone Mechanical,GA,Customer,2026-05-01,25000000,124000,MC,ACC-1008,2,,,Mechanical Contractor,,Harper Lin,https://crestline.lightning.force.com/lightning/r/Account/ACC-1008/view,124000,2023-01-01,Procurement;API Integration
ACC-1009,Steeplechase Electric,Steeplechase Electric,MA,Customer,2026-05-01,35000000,96000,EC,ACC-1009,1,,,Electrical Contractor,,Lauren Park,https://crestline.lightning.force.com/lightning/r/Account/ACC-1009/view,96000,2023-01-01,Procurement
ACC-1010,Riverbend Plumbing,Riverbend Plumbing,MN,Customer,2026-05-01,8000000,56000,PC,ACC-1010,1,,,Plumbing Contractor,,Eddie Coleman,https://crestline.lightning.force.com/lightning/r/Account/ACC-1010/view,56000,2023-01-01,Procurement
ACC-1011,Summit Electric Inc,Summit Electric Inc,CO,Customer,2026-05-01,11000000,72000,EC,ACC-1011,1,,,Electrical Contractor,,Lauren Park,https://crestline.lightning.force.com/lightning/r/Account/ACC-1011/view,72000,2023-01-01,Procurement
ACC-1012,Heritage Mechanical,Heritage Mechanical,NC,Customer,2026-05-01,19000000,108000,MC,ACC-1012,2,,,Mechanical Contractor,,Caroline Mead,https://crestline.lightning.force.com/lightning/r/Account/ACC-1012/view,78000,2023-01-01,Procurement;API Integration
ACC-1013,Atlas Sheet Metal,Atlas Sheet Metal,TX,Customer,2026-05-01,13000000,78000,SM,ACC-1013,1,,,HVAC/Sheet Metal Contractor,,Tomás Reyes,https://crestline.lightning.force.com/lightning/r/Account/ACC-1013/view,78000,2023-01-01,Procurement
ACC-1014,Pinewood Construction Services,Pinewood Construction Services,OR,Customer,2026-05-01,21000000,116000,GC,ACC-1014,2,,,General Contractor,,Caroline Mead,https://crestline.lightning.force.com/lightning/r/Account/ACC-1014/view,116000,2023-01-01,Procurement;API Integration
